dataset,arm,mode,fold,bacc,per_class_recall,n_train,n_test,exploratory
oral_diseases,A0,none,0,0.6886837577627052,"[0.9375, 1.0, 0.5, 0.6111111111111112, 0.5454545454545454, 0.8421052631578947, 0.38461538461538464]",412,104,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,full,0,0.6541352653194759,"[0.9375, 0.9333333333333333, 0.5, 0.5555555555555556, 0.6363636363636364, 0.631578947368421, 0.38461538461538464]",412,104,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,offset,0,0.681164960770224,"[0.9375, 1.0, 0.5, 0.6111111111111112, 0.5454545454545454, 0.7894736842105263, 0.38461538461538464]",412,104,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,scale,0,0.6581908588487536,"[0.9375, 1.0, 0.5, 0.5555555555555556, 0.5454545454545454, 0.6842105263157895, 0.38461538461538464]",412,104,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,none,1,0.7911900964532543,"[1.0, 0.9333333333333333, 0.8333333333333334, 0.5555555555555556, 0.9090909090909091, 0.47368421052631576, 0.8333333333333334]",413,103,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,full,1,0.7887218045112782,"[1.0, 0.9333333333333333, 0.8333333333333334, 0.5, 1.0, 0.42105263157894735, 0.8333333333333334]",413,103,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,offset,1,0.7911900964532543,"[1.0, 0.9333333333333333, 0.8333333333333334, 0.5555555555555556, 0.9090909090909091, 0.47368421052631576, 0.8333333333333334]",413,103,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,scale,1,0.7812030075187969,"[1.0, 0.9333333333333333, 0.8333333333333334, 0.5, 1.0, 0.3684210526315789, 0.8333333333333334]",413,103,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,none,2,0.7217190704032809,"[0.875, 1.0, 0.6666666666666666, 0.6666666666666666, 0.5454545454545454, 0.631578947368421, 0.6666666666666666]",413,103,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,full,2,0.7307378294220399,"[0.875, 1.0, 0.75, 0.5555555555555556, 0.6363636363636364, 0.631578947368421, 0.6666666666666666]",413,103,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,offset,2,0.7256873243715349,"[0.875, 1.0, 0.75, 0.6111111111111112, 0.5454545454545454, 0.631578947368421, 0.6666666666666666]",413,103,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,scale,2,0.7296555783397889,"[0.875, 1.0, 0.8333333333333334, 0.5555555555555556, 0.5454545454545454, 0.631578947368421, 0.6666666666666666]",413,103,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,none,3,0.7454878454878455,"[0.8666666666666667, 0.9333333333333333, 0.6923076923076923, 0.5, 0.6363636363636364, 0.6666666666666666, 0.9230769230769231]",413,103,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,full,3,0.7584748584748586,"[0.8666666666666667, 0.9333333333333333, 0.6923076923076923, 0.5, 0.7272727272727273, 0.6666666666666666, 0.9230769230769231]",413,103,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,offset,3,0.7454878454878455,"[0.8666666666666667, 0.9333333333333333, 0.6923076923076923, 0.5, 0.6363636363636364, 0.6666666666666666, 0.9230769230769231]",413,103,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,scale,3,0.7505383505383507,"[0.8666666666666667, 0.9333333333333333, 0.6923076923076923, 0.4444444444444444, 0.7272727272727273, 0.6666666666666666, 0.9230769230769231]",413,103,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,none,4,0.770840562945826,"[0.75, 1.0, 0.6666666666666666, 0.6666666666666666, 0.6, 0.7894736842105263, 0.9230769230769231]",413,103,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,full,4,0.7499518025833815,"[0.75, 1.0, 0.75, 0.6666666666666666, 0.5, 0.7368421052631579, 0.8461538461538461]",413,103,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,offset,4,0.7609408135723925,"[0.75, 1.0, 0.75, 0.6666666666666666, 0.5, 0.7368421052631579, 0.9230769230769231]",413,103,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,scale,4,0.7563010089325878,"[0.75, 1.0, 0.75, 0.6111111111111112, 0.6, 0.7368421052631579, 0.8461538461538461]",413,103,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,none,5,0.7423967845020477,"[1.0, 0.9333333333333333, 0.6666666666666666, 0.5555555555555556, 0.6363636363636364, 0.7894736842105263, 0.6153846153846154]",412,104,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
