dataset,fold,mode,a,b,exploratory
oral_diseases,0,full,"[0.28279998898506165, 0.2858999967575073, 0.30239999294281006, 0.22370000183582306, 0.29980000853538513, 0.22589999437332153, 0.25600001215934753]","[-0.19329999387264252, -0.48969998955726624, 0.07029999792575836, 0.40459999442100525, -0.1420000046491623, 0.14810000360012054, 0.20200000703334808]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,0,offset,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-0.22519999742507935, -0.6610999703407288, 0.5806000232696533, 0.16519999504089355, 0.3659999966621399, -0.5227000117301941, 0.2973000109195709]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,0,scale,"[0.26600000262260437, 0.25440001487731934, 0.30300000309944153, 0.25270000100135803, 0.28369998931884766, 0.23160000145435333, 0.26809999346733093]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,1,full,"[0.28369998931884766, 0.29269999265670776, 0.3059999942779541, 0.24379999935626984, 0.2922999858856201, 0.21230000257492065, 0.2671999931335449]","[-0.1225999966263771, -0.34630000591278076, 0.007600000128149986, 0.19439999759197235, -0.10199999809265137, 0.25099998712539673, 0.11789999902248383]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,1,offset,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-0.07479999959468842, -0.2773999869823456, 0.2994000017642975, 0.020099999383091927, 0.25839999318122864, -0.5185999870300293, 0.2928999960422516]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,1,scale,"[0.27140000462532043, 0.2712000012397766, 0.30230000615119934, 0.2554999887943268, 0.28119999170303345, 0.22769999504089355, 0.2732999920845032]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,2,full,"[0.2775999903678894, 0.30889999866485596, 0.31119999289512634, 0.19820000231266022, 0.28290000557899475, 0.23430000245571136, 0.2962000072002411]","[0.00860000029206276, -0.4262000024318695, 0.019899999722838402, 0.43970000743865967, -0.07890000194311142, 0.10540000349283218, -0.06859999895095825]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,2,offset,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.061799999326467514, -0.49900001287460327, 0.7419999837875366, -0.4749999940395355, 0.3305000066757202, -0.6086999773979187, 0.44839999079704285]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,2,scale,"[0.27630001306533813, 0.28279998898506165, 0.3059000074863434, 0.22589999437332153, 0.27079999446868896, 0.23549999296665192, 0.28299999237060547]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,3,full,"[0.25369998812675476, 0.2824999988079071, 0.260699987411499, 0.21979999542236328, 0.3109000027179718, 0.2515000104904175, 0.2614000141620636]","[0.015599999576807022, -0.4641000032424927, 0.26840001344680786, 0.2750999927520752, -0.2736000120639801, -0.03310000151395798, 0.21170000731945038]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,3,offset,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-0.05849999934434891, -0.5156999826431274, 0.4440999925136566, -0.29750001430511475, 0.22660000622272491, -0.2549999952316284, 0.4560999870300293]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,3,scale,"[0.2540000081062317, 0.25690001249313354, 0.2797999978065491, 0.23600000143051147, 0.2840999960899353, 0.24320000410079956, 0.27459999918937683]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,4,full,"[0.2858000099658966, 0.2720000147819519, 0.28299999237060547, 0.21719999611377716, 0.28839999437332153, 0.19529999792575836, 0.25429999828338623]","[-0.24699999392032623, -0.2476000040769577, 0.1145000010728836, 0.25189998745918274, -0.3077999949455261, 0.28299999237060547, 0.15309999883174896]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,4,offset,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-0.16529999673366547, -0.4772000014781952, 0.8190000057220459, -0.2612000107765198, -0.06620000302791595, -0.6119999885559082, 0.7628999948501587]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,4,scale,"[0.26339998841285706, 0.2540000081062317, 0.2865000069141388, 0.22930000722408295, 0.26109999418258667, 0.20829999446868896, 0.2605000138282776]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w13 · 판정 아님 / not a verdict)
