dataset,arm,mode,fold,a,b,exploratory
oral_diseases,A0,full,0,"[0.28279000520706177, 0.28586000204086304, 0.3023500144481659, 0.22373999655246735, 0.2998200058937073, 0.22594000399112701, 0.2559800148010254]","[-0.1933099925518036, -0.48969000577926636, 0.07034999877214432, 0.40459001064300537, -0.14203999936580658, 0.1480800062417984, 0.20202000439167023]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,offset,0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-0.2252500057220459, -0.6611400246620178, 0.5806199908256531, 0.16516999900341034, 0.3659699857234955, -0.5227100253105164, 0.29732999205589294]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,scale,0,"[0.2659600079059601, 0.25440001487731934, 0.30303001403808594, 0.25273001194000244, 0.28365999460220337, 0.23160000145435333, 0.2681100070476532]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,full,1,"[0.2837199866771698, 0.29271000623703003, 0.3059599995613098, 0.2438099980354309, 0.2922999858856201, 0.21233999729156494, 0.2671999931335449]","[-0.12258999794721603, -0.3462600111961365, 0.0076500000432133675, 0.19438999891281128, -0.10204999893903732, 0.25095999240875244, 0.1179099977016449]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,offset,1,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-0.07483000308275223, -0.2773900032043457, 0.29941999912261963, 0.02013999968767166, 0.2584100067615509, -0.5186399817466736, 0.2928999960422516]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,scale,1,"[0.27140000462532043, 0.2711699903011322, 0.3023200035095215, 0.2554999887943268, 0.28123000264167786, 0.2277200073003769, 0.273250013589859]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,full,2,"[0.27757999300956726, 0.3088900148868561, 0.3112199902534485, 0.19822999835014343, 0.2829200029373169, 0.2343199998140335, 0.2961600124835968]","[0.008620000444352627, -0.4261699914932251, 0.01988999918103218, 0.4397200047969818, -0.07886999845504761, 0.10544999688863754, -0.06864000111818314]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,offset,2,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.061799999326467514, -0.49900001287460327, 0.7420300245285034, -0.47503000497817993, 0.33044999837875366, -0.6086999773979187, 0.4484499990940094]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,scale,2,"[0.27628999948501587, 0.2828199863433838, 0.30594998598098755, 0.22589999437332153, 0.27081000804901123, 0.2355400025844574, 0.28303998708724976]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,full,3,"[0.2537499964237213, 0.2825300097465515, 0.26072999835014343, 0.2197899967432022, 0.3109300136566162, 0.2515000104904175, 0.2613599896430969]","[0.015599999576807022, -0.4641300141811371, 0.26840999722480774, 0.2750700116157532, -0.27355000376701355, -0.033080000430345535, 0.21167999505996704]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,offset,3,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-0.05852000042796135, -0.515749990940094, 0.444130003452301, -0.2974500060081482, 0.22658999264240265, -0.25505000352859497, 0.45605000853538513]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,scale,3,"[0.2539899945259094, 0.2569499909877777, 0.27981001138687134, 0.2360299974679947, 0.28411000967025757, 0.2432200014591217, 0.2745499908924103]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,full,4,"[0.2858099937438965, 0.2720299959182739, 0.2829799950122833, 0.21717999875545502, 0.2883700132369995, 0.19532999396324158, 0.2542699873447418]","[-0.2470400035381317, -0.24762000143527985, 0.11449000239372253, 0.25192001461982727, -0.3078100085258484, 0.2829799950122833, 0.15308000147342682]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,offset,4,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-0.1652899980545044, -0.4772300124168396, 0.8189700245857239, -0.26120999455451965, -0.06617999821901321, -0.6119800209999084, 0.762910008430481]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,scale,4,"[0.2634499967098236, 0.25402000546455383, 0.28652000427246094, 0.2292799949645996, 0.26109999418258667, 0.20826999843120575, 0.26050999760627747]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,full,5,"[0.2204899936914444, 0.24472999572753906, 0.2558700144290924, 0.21193000674247742, 0.28929999470710754, 0.21353000402450562, 0.24889999628067017]","[0.09003999829292297, -0.40742000937461853, 0.0741799995303154, 0.22341999411582947, -0.25450000166893005, 0.13016000390052795, 0.144119992852211]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,offset,5,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.22322000563144684, -0.49873000383377075, 0.45548999309539795, -0.4084100127220154, 0.15542000532150269, -0.4483799934387207, 0.521399974822998]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,scale,5,"[0.22559000551700592, 0.22392000257968903, 0.2583500146865845, 0.22413000464439392, 0.26528000831604004, 0.21894000470638275, 0.2566100060939789]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,full,6,"[0.26471999287605286, 0.2827700078487396, 0.2783200144767761, 0.19912999868392944, 0.2907800078392029, 0.21517999470233917, 0.2678999900817871]","[0.08305999636650085, -0.38506999611854553, 0.0009500000160187483, 0.43876999616622925, -0.36517998576164246, 0.2243099957704544, 0.003169999923557043]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,offset,6,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.15682999789714813, -0.47894999384880066, 0.08793999999761581, 0.06728000193834305, 0.10109999775886536, -0.3624599874019623, 0.4282599985599518]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
oral_diseases,A0,scale,6,"[0.26798000931739807, 0.2584100067615509, 0.2730399966239929, 0.2293200045824051, 0.2611199915409088, 0.22779999673366547, 0.26471999287605286]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
