dataset,arm,config,fold,exploratory,bacc,per_class_recall,qwk,macro_mae,bacc_leakex,n_leaked,train_acc,a_ratio,pair_cos,row_cos,wnorm_ratio,wnorm_spearman
oral_diseases,A0,ce·wd1e-4,0,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6886837577627052,"[0.9375, 1.0, 0.5, 0.6111111111111112, 0.5454545454545454, 0.8421052631578947, 0.38461538461538464]",,0.5865384615384616,,0,1.0,,,,,
oral_diseases,A2,wce·wd1e-4,0,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6886837577627052,"[0.9375, 1.0, 0.5, 0.6111111111111112, 0.5454545454545454, 0.8421052631578947, 0.38461538461538464]",,0.5865384615384616,,0,1.0,,,,,
oral_diseases,affine,full,0,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6541352653194759,"[0.9375, 0.9333333333333333, 0.5, 0.5555555555555556, 0.6363636363636364, 0.631578947368421, 0.38461538461538464]",,0.6538461538461539,,0,,1.3513679504394531,0.9970569326764062,1.0,,
oral_diseases,affine_offset,offset,0,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.681164960770224,"[0.9375, 1.0, 0.5, 0.6111111111111112, 0.5454545454545454, 0.7894736842105263, 0.38461538461538464]",,0.5961538461538461,,0,,1.0,1.0000000141915821,1.0,,
oral_diseases,affine_scale,scale,0,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6581908588487536,"[0.9375, 1.0, 0.5, 0.5555555555555556, 0.5454545454545454, 0.6842105263157895, 0.38461538461538464]",,0.6346153846153846,,0,,1.3084086179733276,0.9985837936401367,1.0,,
oral_diseases,affine_taunorm,tau=0.0,0,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6886837577627052,"[0.9375, 1.0, 0.5, 0.6111111111111112, 0.5454545454545454, 0.8421052631578947, 0.38461538461538464]",,0.5865384615384616,,0,,,,,1.5866403579711914,0.3214285714285715
oral_diseases,vs,"g=0.3,t=1.5",0,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6581908588487536,"[0.9375, 1.0, 0.5, 0.5555555555555556, 0.5454545454545454, 0.6842105263157895, 0.38461538461538464]",,0.6346153846153846,,0,1.0,,0.992142623379117,0.9922001361846924,,
oral_diseases,vs_la_corner,"g=0,t=1",0,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.681164960770224,"[0.9375, 1.0, 0.5, 0.6111111111111112, 0.5454545454545454, 0.7894736842105263, 0.38461538461538464]",,0.5961538461538461,,0,,,0.9976728132792881,0.9976428151130676,,
oral_diseases,wd_ce,wd=1.0,0,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6487473783526415,"[0.9375, 0.9333333333333333, 0.4166666666666667, 0.6111111111111112, 0.5454545454545454, 0.7894736842105263, 0.3076923076923077]",,0.6634615384615384,,0,1.0,,,0.9386078119277954,,
oral_diseases,wd_wce,wd=0.0001,0,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6886837577627052,"[0.9375, 1.0, 0.5, 0.6111111111111112, 0.5454545454545454, 0.8421052631578947, 0.38461538461538464]",,0.5865384615384616,,0,1.0,,,0.9931269288063049,,
oral_diseases,A0,ce·wd1e-4,1,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.7911900964532543,"[1.0, 0.9333333333333333, 0.8333333333333334, 0.5555555555555556, 0.9090909090909091, 0.47368421052631576, 0.8333333333333334]",,0.4368932038834951,,0,1.0,,,,,
oral_diseases,A2,wce·wd1e-4,1,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.8041771094402673,"[1.0, 0.9333333333333333, 0.8333333333333334, 0.5555555555555556, 1.0, 0.47368421052631576, 0.8333333333333334]",,0.4077669902912621,,0,1.0,,,,,
oral_diseases,affine,full,1,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.7887218045112782,"[1.0, 0.9333333333333333, 0.8333333333333334, 0.5, 1.0, 0.42105263157894735, 0.8333333333333334]",,0.44660194174757284,,0,,1.4409035444259644,0.9970115224520365,1.0,,
